Speed,Target,Voltage,Integral,Derivative
2330.191385,3600,12000,17387.78858,-24.172919
2341.652677,3600,12000,17387.78858,-22.901756
2365.674776,3600,12000,17387.78858,-23.01379
2395.753559,3600,12000,17387.78858,-23.72029
2416.490525,3600,12000,17387.78858,-23.421957
2436.846947,3600,12000,17387.78858,-23.115404
2454.149905,3600,12000,17387.78858,-22.534159
2460.877419,3600,12000,17387.78858,-20.953495
2476.885806,3600,12000,17387.78858,-20.458984
2506.032935,3600,12000,17387.78858,-21.327798
2529.967995,3600,12000,17387.78858,-21.588525
2563.542796,3600,12000,17387.78858,-22.787152
2570.241376,3600,12000,17387.78858,-21.178295
2592.10517,3600,12000,17387.78858,-21.246845
2614.049394,3600,12000,17387.78858,-21.316583
2628.291985,3600,12000,17387.78858,-20.609184
2633.258187,3600,12000,17387.78858,-19.044885
2638.319459,3600,12000,17387.78858,-17.646524
2660.05154,3600,12000,17387.78858,-18.05508
2681.463809,3600,12000,17387.78858,-18.390799
2705.754238,3600,12000,17387.78858,-18.980762
2708.761102,3600,12000,17387.78858,-17.383372
2719.086937,3600,12000,17387.78858,-16.677618
2747.813896,3600,12000,17387.78858,-17.882552
2776.641812,3600,12000,17387.78858,-18.977089
2788.54554,3600,12000,17387.78858,-18.269753
2799.713709,3600,12000,17387.78858,-17.559594
2810.046653,3600,12000,17387.78858,-16.836929
2829.959655,3600,12000,17387.78858,-17.144536
2852.135707,3600,12000,17387.78858,-17.647688
2862.165351,3600,12000,17387.78858,-16.885884
2872.160548,3600,12000,17387.78858,-16.196815
2864.486466,3600,12000,17387.78858,-13.809725
2870.143496,3600,12000,17387.78858,-12.994456
2882.721972,3600,12000,17387.78858,-12.952858
2898.243676,3600,12000,17387.78858,-13.209742
2913.957124,3600,12000,17387.78858,-13.460113
2930.253556,3600,12000,17387.78858,-13.743745
2936.545522,3600,12000,17387.78858,-12.998567
2934.123694,3600,12000,17387.78858,-11.456527
2958.94514,3600,12000,17387.78858,-12.793019
2967.233369,3600,12000,17387.78858,-12.34254
2985.828364,3600,12000,17387.78858,-12.967786
3003.314109,3600,12000,17387.78858,-13.419582
3009.146993,3600,12000,17387.78858,-12.660912
3016.414944,3600,12000,17387.78858,-12.121616
3028.262702,3600,12000,17387.78858,-12.09423
3043.793297,3600,12000,17387.78858,-12.437867
3060.984302,3600,12000,17387.78858,-12.91318
3063.416657,3600,12000,17387.78858,-11.865098
3074.094158,3600,12000,17387.78858,-11.746338
3082.330035,3600,12000,17387.78858,-11.395292
3100.250529,3600,12000,17387.78858,-12.047812
3112.96295,3600,12000,17387.78858,-12.114273
3114.948508,3600,12000,17387.78858,-11.101402
3119.786231,3600,12000,17387.78858,-10.475034
3131.248297,3600,12000,17387.78858,-10.573737
3135.321052,3600,12000,17387.78858,-9.923639
3139.622894,3600,12000,17387.78858,-9.361459
3136.13946,3600,12000,17387.78858,-8.07697
3153.338541,3600,12000,17387.78858,-8.989181
3161.23776,3600,12000,17387.78858,-8.880185
3176.562096,3600,12000,17387.78858,-9.5246
3193.577782,3600,12000,17387.78858,-10.273708
3208.461114,3600,12000,17387.78858,-10.734671
3234.971947,3600,12000,17387.78858,-12.312287
3238.186155,3600,12000,17387.78858,-11.402479
3236.088232,3600,12000,17387.78858,-10.052439
3230.944997,3600,12000,17387.78858,-8.532872
3233.293248,3600,12000,17387.78858,-7.914409
3239.27926,3600,12000,17387.78858,-7.72157
3236.807371,3600,12000,17387.78858,-6.702224
3237.436266,3600,12000,17387.78858,-6.094891
3251.410826,3600,12000,17387.78858,-6.882858
3263.499202,3600,12000,17387.78858,-7.40341
3266.424322,3600,12000,17387.78858,-6.955581
3275.840673,3600,12000,17387.78858,-7.201658
3283.214572,3600,12000,17387.78858,-7.218882
3290.952387,3600,12000,17387.78858,-7.270775
3296.899529,3600,12000,17387.78858,-7.138412
3288.724599,3600,12000,17387.78858,-5.607078
3304.035909,3600,12000,17387.78858,-6.577501
3312.850523,3600,12000,17387.78858,-6.801212
3310.052945,3600,12000,17387.78858,-5.841333
3324.265003,3600,12000,17387.78858,-6.678406
3332.565252,3600,12000,17387.78858,-6.84059
3331.850465,3600,12000,17387.78858,-6.085052
3343.002895,3600,12000,17387.78858,-6.59179
3353.112461,3600,12000,17387.78858,-6.943568
3368.215592,3600,12000,17387.78858,-7.759524
3375.593253,3600,12000,17387.78858,-7.721338
3378.084265,3600,12000,17387.78858,-7.198305
3394.271625,3600,12000,17387.78858,-8.097211
3400.050881,3600,12000,17387.78858,-7.865415
3403.283249,3600,12000,17387.78858,-7.40211
3407.500762,3600,12000,17387.78858,-7.083651
3411.925648,3600,12000,17387.78858,-6.817774
3402.2468,3600,12000,17387.78858,-5.168112
3408.92978,3600,12000,17387.78858,-5.319599
3406.000313,3600,12000,17387.78858,-4.494692
3400.780266,3600,12000,17387.78858,-3.523218
3407.473226,3600,12000,17387.78858,-3.840193
3408.332242,3600,12000,17387.78858,-3.542075
3410.532406,3600,12000,17387.78858,-3.407884
3431.512545,3600,12000,17387.78858,-5.165109
3428.135663,3600,12000,17387.78858,-4.31091
3436.605314,3600,12000,17387.78858,-4.726784
3442.124517,3600,12000,17387.78858,-4.806026
3422.665839,3600,12000,17387.78858,-2.379556
3422.715963,3600,12000,17387.78858,-2.146613
3439.768569,3600,12000,17387.78858,-3.637212
3439.143284,3600,12000,17387.78858,-3.210962
3439.871791,3600,12000,17387.78858,-2.962717
3437.341022,3600,12000,17387.78858,-2.413368
3440.019869,3600,12000,17387.78858,-2.439916
3437.886889,3600,12000,17387.78858,-1.982626
3457.073855,3600,12000,17387.78858,-3.70306
3447.132777,3600,12000,17387.78858,-2.338647
3465.77286,3600,12000,17387.78858,-3.96879
3464.186931,3600,12000,17387.78858,-3.413318
3461.998892,3600,12000,17387.78858,-2.853182
3461.819058,3600,12000,17387.78858,-2.549881
3467.756199,3600,12000,17387.78858,-2.888607
3467.552769,3600,12000,17387.78858,-2.579403
3461.919854,3600,12000,17387.78858,-1.758171
3472.041876,3600,12000,17387.78858,-2.594556
3476.865594,3600,12000,17387.78858,-2.817473
3474.035755,3600,12000,17387.78858,-2.252741
3492.000392,3600,12000,17387.78858,-3.823931
3472.410333,3600,12000,17387.78858,-1.482532
3484.738783,3600,12000,17387.78858,-2.567124
3484.297966,3600,12000,17387.78858,-2.26633
3488.333271,3600,12000,17387.78858,-2.443227
3490.92328,3600,12000,17387.78858,-2.457905
3501.944788,3600,12000,17387.78858,-3.314266
3496.61307,3600,12000,17387.78858,-2.449667
3492.921109,3600,12000,17387.78858,-1.835505
3501.542943,3600,12000,17387.78858,-2.514137
3506.561502,3600,12000,17387.78858,-2.76458
3497.597276,3600,12000,17387.78858,-1.591699
3513.077685,3600,12000,17387.78858,-2.98057
3507.966032,3600,12000,17387.78858,-2.171348
3518.321127,3600,12000,17387.78858,-2.989722
3514.732958,3600,12000,17387.78858,-2.331933
3532.053015,3600,12000,17387.78858,-3.830746
3526.615062,3600,12000,17387.78858,-2.903876
3531.022803,3600,12000,17387.78858,-3.054262
3533.509383,3600,12000,17387.78858,-2.997494
3533.102975,3600,12000,17387.78858,-2.657104
3544.937529,3600,12000,17387.78858,-3.574849
3549.3269,3600,12000,17387.78858,-3.656301
3546.337865,3600,12000,17387.78858,-2.991767
3552.617185,3600,12000,17387.78858,-3.320523
3554.594607,3600,12000,17387.78858,-3.186213
3567.615416,3600,12000,17387.78858,-4.169672
3563.353104,3600,12000,17387.78858,-3.326474
3562.880138,3600,12000,17387.78858,-2.94653
3550.718117,3600,12000,17387.78858,-1.435675
3556.9704,3600,12000,17387.78858,-1.917336
